id,name,adress,tell,"
operating_time",type,representative_menu,lat,lon,score
15222,무진골생고기식당,대전광역시 대덕구 신탄진동 114-4,042-935-2936,매일 09:00~21:30 | 평일 09:00~21:30 | 주말 09:00~21:30,한식,삼겹살 200g,36.45257796,127.4278811,0
15223,제주흑돼지들녘,대전광역시 서구 우명동 9,,매일 11:30~20:00 (3시~5시브레이크타임)(8시까지 오시면 9시까지 식사가능),한식,제주흑돼지생구이(600g)한근,36.23019466,127.302496,0
15224,카페달보드레,대전광역시 중구 태평동 329-6,042-328-3926,매일 10:00~22:00,카페·디저트,,36.3246105,127.3968067,0
15225,10시식당,대전광역시 서구 월평동 285-1,042-486-7892,영업일 평일 | 정기휴무 매주 토요일  일요일 ,한식,아구탕,36.35849788,127.3773072,0
15226,금산식당,대전광역시 서구 변동 77-11,042-532-2387,,한식,,36.32965438,127.3719312,0
15227,베리신주쿠,대전광역시 유성구 어은동 113-16,042-863-7339,매일 11:30~21:00 Break time 14:30~16:30,일식,돈가스덮밥,36.36308376,127.3577356,0
15228,그라티아,대전광역시 서구 관저동 1561-4,070-7807-0420,매일 10:30~21:00 매주 일요일 휴무(매월 첫주 토요일 휴무),양식,파스타외,36.2958002,127.3392031,0
15229,대양식당,대전광역시 동구 가양동 47-18,042-625-8849,,한식,,36.35356921,127.4525076,0
15231,미라네전집,대전광역시 서구 갈마동 1399-1,042-535-6143,,한식,,36.34166688,127.3775941,0
15232,바코드그릴,대전광역시 유성구 지족동 1028-1,042-863-2277,매일 17:00~22:00,한식,이베리코꽃목살,36.38675898,127.3090748,0
15233,그림같은집,대전광역시 서구 도마동 132-5,,,한식,,36.31602953,127.381103,0
15234,총체보리한우 대전점,대전광역시 서구 만년동 343,042-482-0985,평일 10:30~22:00 B.T 15:00~17:00 | 주말 10:30~22:00,한식,1+ 명품한우등심 안심 400g,36.36712365,127.3817418,0
15235,맛고을,대전광역시 서구 괴정동 66-9,042-527-8959,매일 11:00~15:00 일요일 휴무,한식,,36.339306,127.3816135,0
15236,동신수산,대전광역시 유성구 노은동 534-13,042-476-9968,매일 11:30~22:00 | 평일 14:00~17:00 브레이크타임 (주말.공휴일 3시부터4시),일식,광어 中,36.36739311,127.3229244,0
15237,목척순대.막창,대전광역시 동구 용운동 351-3,,,한식,,36.32727085,127.461179,0
15239,송림식당,대전광역시 동구 원동 41-6,042-257-6266,매일 11:00~21:00 | 일요일 휴무,한식,생삼겹살,36.32803387,127.4336309,0
15240,모모제인,대전광역시 중구 대흥동 412-1,042-221-8321,매일 12:00~23:00 (22:00 주문마감),카페·디저트,수제케이크,36.32488747,127.4254796,0
15241,베베하우스,대전광역시 서구 복수동 638,,,카페·디저트,,36.2991536,127.3804974,0
15242,옛날칼국수,대전광역시 중구 유천동 304-3,,매일 09:00~22:00,한식,옛날칼국수,36.31746598,127.3960337,0
15243,글로리데이즈,대전광역시 유성구 궁동 418-3,042-825-9516,매일 10:00~22:40,카페·디저트,아메리카노,36.3613382,127.3481366,0
15244,만년손칼국수,대전광역시 서구 만년동 231,042-485-8892,매일 10:00~21:30 매주일요일휴무,한식,웰빙칼국수,36.36691165,127.37518,0
15245,공주칼국수 만년점,대전광역시 서구 만년동 183,042-487-5986,,한식,얼큰이칼국수,36.36691394,127.3745514,0
15247,손수차림,대전광역시 서구 내동 152-26,042-525-3338,매일 11:00~21:30 | 월요일 휴무,한식,갈비궁중전골 大,36.33483921,127.3673894,0
15248,신전떡볶이 한밭야구장점,대전광역시 중구 부사동 209-1,,평일 09:00~21:00 | 주말 10:00~19:00,분식,떡볶이,36.3162297,127.4315183,0
15250,신가네추어탕,대전광역시 서구 도마동 130-18,042-525-8355,매일 11:00~21:30,한식,추어탕,36.31600924,127.3803791,0
15251,꿀꿀이족발집,대전광역시 대덕구 중리동 248-1,042-622-3307,,한식,,36.35709826,127.4273564,0
15252,소문난백반,대전광역시 동구 용전동 67-9,042-632-7337,,한식,백반,36.3526078,127.4368602,0
15253,산이랑들이랑,대전광역시 대덕구 장동 456,042-934-2695,매일 00:00~24:00  계절 및 날씨상황에 따라 유동적,한식,낙지볶음(덮밥),36.40729426,127.4385866,0
15254,싸갈래요 먹을래요,대전광역시 서구 정림동 7,042-585-2703,일요일 휴무 | 평일 11:00~20:00 | 토요일 11:00~20:00,분식,떡볶이 1인분,36.30554248,127.3664281,0
15255,대복칼국수,대전광역시 동구 낭월동 731,042-272-9866,매일 11:00~22:00 매주 일요일 휴무. 브레이크타임 15:00~17:00,한식,얼큰이칼국수,36.2767358,127.4656065,0
15256,미성식당,대전광역시 서구 갈마동 718,042-484-7522,매일 10:30~21:30 2 4째주 토요일 휴무,한식,닭볶음탕,36.35738732,127.3699641,0
15257,닥시쿄,대전광역시 유성구 송강동 171-6,042-936-2040,,치킨,두마리  치킨,36.4344619,127.3874594,0
15258,구구삼계탕,대전광역시 유성구 송강동 185-3,042-933-9935,,한식,닭도리탕,36.43318419,127.3861483,0
15259,소문난우리집,대전광역시 서구 둔산2동 1308,042-488-9399,,한식,생삼겹살 160g,36.3538146,127.3822416,0
15260,김연수소국밥막국수,대전광역시 대덕구 읍내동 306,042-634-3325,매일 09:00~15:00 일요일 공휴일 휴무,한식,소머리국밥,36.37650218,127.4216317,0
15261,곰돌이 기사식당,대전광역시 동구 용전동 68-2,042-625-1258,,한식,떡국,36.3515021,127.4375133,0
15262,별빛에반하다,대전광역시 서구 관저동 1570-3,070-4062-6438,,카페·디저트,커피,36.29449566,127.3376363,0
15263,공단식당,대전광역시 대덕구 신일동 1693-10,042-933-7789,,한식,,36.4309219,127.4071095,0
15264,향촌한우타운,대전광역시 중구 유천2동 188-3,042-528-0022,매일 11:00~22:00,한식,한우육회 200g,36.3218451,127.3987201,0
15265,모드니,대전광역시 유성구 반석동 461,070-8691-0401,매일 10:30~22:00,카페·디저트,아메리카노,36.3897974,127.3004806,0
15266,맛짱분식,대전광역시 중구 태평동 317,042-525-1772,,분식,,36.32470258,127.3980648,0
15267,바다수산,대전광역시 서구 갈마1동 291-14,042-536-6776,매일 12:00~03:00,한식,기본상차림,36.35370908,127.3664023,0
15268,늘푸른식당,대전광역시 대덕구 석봉동 191-15,042-931-3326,,한식,,36.448771,127.4258463,0
15269,선이식당,대전광역시 서구 관저동 1957-1,042-546-2472,,한식,촌돼지찌개,36.2960687,127.324233,0
15270,대성생삼겹살전문점,대전광역시 대덕구 신탄진동 157-19,042-931-5522,,한식,,36.44821342,127.4319626,0
15271,시루향기 신성점,대전광역시 유성구 신성동 118-42,042-823-0255,매일 07:00~21:00 매주월요일 휴무 | 월요일 휴무,한식,콩나물국밥,36.38554178,127.3534505,0
15272,동원손칼국수,대전광역시 유성구 송강동 24-9,042-935-0210,매일 09:30~21:30 1.3째주 월요일 휴무,한식,칼국수,36.43544074,127.3856709,0
15273,불타는청춘,대전광역시 서구 정림동 602-1,042-585-0991,,한식,,36.3061199,127.3657525,0
15274,그러면 선화점,대전광역시 중구 선화동 382-49,,,분식,,36.32449535,127.4189195,0
15275,소풍꼬마김밥,대전광역시 서구 도안동 1564,042-544-8383,토요일 10:00~21:00 | 금요일 10:00~21:00 | 목요일 10:00~21:00 | 수요일 10:00~21:00 | 화요일 10:00~21:00 | 일요일 10:00~21:00,분식,꼬마김밥(6줄),36.30834079,127.3487584,0
15276,도군샤부,대전광역시 서구 둔산동 1195,,매일 11:00~21:00 15시~17시 브레이크타임 | 월요일 휴무,일식,형샤부(맑은육수),36.35021235,127.3787558,0
15277,소담족발,대전광역시 유성구 장대동 355-1,042-822-3920,매일 04:00~01:30,한식,오늘삶은소담족발,36.36127689,127.337369,0
15278,아이엠꼬마김밥,대전광역시 서구 둔산동 1809,042-482-6005,평일 08:00~20:00 | 토요일 08:00~16:00,분식,아이엠꼬마5줄,36.3538667,127.3955692,0
15279,명성복돼지,대전광역시 중구 태평동 332-19,042-526-1144,,한식,생삼겹,36.32554071,127.3983544,0
15280,통영굴나라,대전광역시 서구 월평동 684-2,042-489-2632,매일 12:00~24:00 break time 14:00~17:30  점심은 평일만 합니다. 토 일 공휴일은 점심 쉽니다. | 평일 12:00~24:00 break time 14:00~17:30  점심은 평일만 합니다. 토 일 공휴일은 점심 쉽니다. | 일요일 17:30~23:00 일요일은 1시간 조기마감 합니다.,한식,생굴찜,36.356029,127.36539,0
15282,소막대기카페,대전광역시 대덕구 송촌동 500-7,,매일 11:00~22:00,카페·디저트,아메리카노,36.3628791,127.4442497,0
15283,엄마의 밥상,대전광역시 동구 용운동 576,042-321-3332,매일 11:00~20:00,한식,뚝불(뚝배기불고기),36.33567531,127.4567872,0
15284,더캠핑,대전광역시 중구 대흥동 196-1,042-252-9877,매일 17:00~02:00,한식,생목살(180g),36.32721315,127.4259449,0
15285,대박육회,대전광역시 서구 복수동 755,,매일 17:00~02:00,한식,싸다육회140g,36.29803383,127.3775747,0
15286,오느리,대전광역시 서구 관저동 1558-3,070-4242-1987,매일 09:30~22:00 | 토요일 09:30~22:00 | 금요일 09:30~22:00 | 목요일 09:30~22:00 | 수요일 09:30~22:00 | 화요일 09:30~22:00 | 월요일 09:30~22:00 | 일요일 09:30~22:00,카페·디저트,아메리카노,36.2950854,127.3355765,0
15287,복덕얼큰이칼국수,대전광역시 서구 도마동 155-2,042-535-0608,,한식,,36.3128235,127.374011,0
15288,길목식당,대전광역시 동구 용전동 179-6,042-626-0706,,한식,,36.35074467,127.4320359,0
15289,동아식당,대전광역시 동구 가양동 168-21,042-632-5371,,한식,,36.34510462,127.4511136,0
15290,리베라집밥,대전광역시 유성구 봉명동 445-13,042-826-6787,,한식,,36.3551252,127.3396156,0
15291,코니스 BBQ Grill,대전광역시 중구 은행동 65-8,,매일 18:00~02:00,양식,소고기 바베큐,36.3287417,127.4290168,0
15292,숯총각네삼겹살,대전광역시 서구 도안동 1225,042-543-3939,공휴일 16:00~23:59 | 주말 16:00~23:59 | 평일 16:00~23:59 | 일요일 16:00~23:59 | 토요일 16:00~23:59 | 금요일 16:00~23:59 | 매일 16:00~23:59 | 목요일 16:00~23:59 | 수요일 16:00~23:59 | 화요일 16:00~23:59 | 월요일 16:00~23:59,한식,모듬한판,36.32112641,127.3435558,0
15293,병천순대,대전광역시 동구 가양동 655-25,042-637-1584,,한식,,36.34341634,127.449852,0
15294,김가네시민고기국수 용문점,대전광역시 서구 용문동 257-6,042-531-1080,평일 09:00~20:50 | 토요일 09:00~19:50 2 4주차는 2시까지만 운영합니다 | 일요일 09:00~19:50,한식,사골고기국수,36.33703863,127.3937008,0
15295,냥그쿠키,대전광역시 유성구 원신흥동 574-4,,평일 12:00~18:00 | 주말 12:00~18:00 토요일 영업  일요일휴무 | 공휴일 12:00~18:00 19일 영업. 20.21.22일 휴무,카페·디저트,아메리칸 쿠키류(초코쵸키),36.3340407,127.3377165,0
15296,손칼국수보쌈,대전광역시 서구 둔산동 1921,042-489-0799,토요일 11:00~22:00 추석 설날 당일하루만 휴무 | 평일 11:00~22:00 추석 설날 당일하루만 휴무 | 일요일 11:00~21:00 | 월요일 17:00~22:00 매주 월요일 오후 5시에 오픈합니다.,한식,얼큰이손칼국수,36.34955667,127.3969468,0
15297,완도약산흑염소,대전광역시 중구 용두동 32-3,042-224-0505,매일 11:00~21:00,한식,흑염소전골,36.3268217,127.4083875,0
15299,돼지마을,대전광역시 중구 은행동 72-4,042-253-6755,월요일 휴무 화~일(BREAK TIME 오후 2시30분~4시30분)  | 평일 12:00~21:00  점심 식사는 오후 1시40분까지 오셔야합니다.  - 2시30분부터는 가게 문을 닫고 가게를 비웁니다.  | 주말 12:00~21:00 저녁은  8시10분까지는 오셔야  식사는 가능하십니다. - 9시 부터는 청소 및 재료정리 등 영업을마감합니다.,한식,목살양념찌개구이,36.32795003,127.4291744,0
15300,갑돌갈비,대전광역시 서구 도마동 80-6,042-525-5720,매일 10:00~22:00 마지막 주 일요일 휴무,한식,냉면,36.31939166,127.3788514,0
15301,도네누 대전롯데점,대전광역시 서구 괴정동 6-3,042-537-9280,평일 16:00~00:00 | 주말 13:00~00:00,한식,볏짚통삼겹살,36.34065784,127.387769,0
15302,명륜진사갈비 대전신탄진점,대전광역시 대덕구 덕암동 11-2,042-936-9255,매일 12:00~22:00,한식,무한리필 숯불돼지갈비,36.44402688,127.4246826,0
15303,만파식적,대전광역시 서구 도안동 863,,,한식,불오징어볶음,36.3310884,127.3392967,0
15304,슈가스팟,대전광역시 유성구 전민동 462-4,042-867-0125,토요일 12:00~23:00 | 금요일 12:00~23:00 | 목요일 12:00~23:00 | 수요일 12:00~23:00 | 일요일 12:00~23:00 | 화요일 12:00~23:00,카페·디저트,컵과일,36.4016517,127.403265,0
15305,숯고을,대전광역시 유성구 관평동 1008,042-671-5289,매일 16:00~03:00,한식,제주오겹살(150g),36.42344088,127.3909901,0
15306,돈돈 용전점,대전광역시 동구 용전동 63-27,042-622-0320,매일 11:00~21:10,일식,치킨그릴정식,36.35143237,127.4367547,0
15307,대화장,대전광역시 서구 도마동 101-3,042-523-8830,매일 11:00~19:00,중식,자장면,36.31725386,127.3772208,0
15308,김밥전쟁세종점,대전광역시 동구 용운동 179-2,042-284-5274,토요일 10:00~21:00 | 평일 10:00~21:00 | 일요일 12:00~21:00,한식,김치대패삼겹덮밥,36.33072879,127.4604463,0
15310,사계절추어탕,대전광역시 중구 산성동 277-16,042-586-2022,,한식,,36.3034985,127.3864141,0
15311,다래짬뽕 죽동점,대전광역시 유성구 죽동 734-4,042-826-7998,평일 11:00~21:00 매주 일요일 휴무 /브레이크 타임 3시~5시 | 토요일 11:00~15:00 매주 일요일은 휴무,중식,간짜장,36.3750233,127.3379631,0
15312,어촌길,대전광역시 유성구 원신흥동 501-11,042-823-9393,매일 11:00~21:00 | 매일 15:00~17:00 브레이크타임,한식,점심특선,36.33985797,127.3427512,0
15313,가마솥식당,대전광역시 유성구 전민동 466-3,,,한식,,36.4000099,127.4056962,0
15315,중앙한식뷔페,대전광역시 동구 대성동 317-5,042-273-6501,,한식,,36.28758873,127.4648112,0
15316,언제나,대전광역시 유성구 노은동 488-8,,평일 10:00~21:00 토요일 10:00-1900  일요일은휴무,카페·디저트,클래식 스콘,36.3720093,127.3167599,0
15317,성원식당,대전광역시 동구 가양동 450-29,042-624-6171,,한식,양푼이동태찌개,36.34847469,127.4380705,0
15318,샤브향 대전관저점,대전광역시 서구 관저동 1518,042-542-9914,매일 11:00~22:00,한식,월남쌈샤브 기본 한우샤브 120g,36.2980576,127.3377919,0
15319,옛터촌국수 선화점,대전광역시 중구 선화동 132-17,042-224-0222,평일 10:00~20:00 | 공휴일 10:00~17:00 토요일 포함 | 일요일 휴무,한식,잔치국수,36.33217273,127.4189063,0
15320,퀴즈노스 대전테크노점,대전광역시 유성구 탑립동 861,042-671-1106,평일 08:00~19:30 | 토요일 08:00~16:00 | 일요일 휴무,양식,트레디셔널(R) 샌드위치,36.4166102,127.4107621,0
15321,수통골조개손칼국수,대전광역시 유성구 덕명동 201-7,042-823-1315,,한식,물총조개 손칼국수,36.34851632,127.2935609,0
15322,북청식당,대전광역시 동구 용전동 82-2,,매일 10:00~22:00 | 월요일 휴무 2 4째주 월요일,한식,콩나물국밥,36.35095943,127.4283336,0
15323,앗싸대패삼겹살 대정점,대전광역시 유성구 대정동 309-5,042-637-3392,,한식,대패삼겹살,36.31463547,127.3220626,0
15324,송촌명가,대전광역시 대덕구 송촌동 472-1,042-626-1665,매일 17:00~24:00,한식,돼지갈비,36.36379531,127.4383921,0
15325,모노로스트,대전광역시 서구 관저동 1657,,매일 06:00~23:00,카페·디저트,아메리카노,36.3074386,127.3332236,0
15326,시골뜰마루,대전광역시 서구 관저동 1041,042-546-4800,,한식,곱창전골,36.30024364,127.3359335,0
15327,올떡볶이 대전월평점,대전광역시 서구 월평동 301,042-485-3733,매일 11:00~21:00 | 일요일 휴무,분식,마라떡볶이,36.35953248,127.3712963,0
15328,아담스꼬마김밥 충남대점,대전광역시 유성구 궁동 482-4,070-4015-2327,매일 09:30~09:00,분식,아담스꼬마김밥6줄,36.36124494,127.3447177,0
15329,얌얌케이크,대전광역시 서구 갈마동 273-24,,매일 12:00~22:00 | 월요일 휴무,카페·디저트,아메리카노,36.3514041,127.3721089,0
15330,맛나,대전광역시 동구 가양동 42-14,042-544-0058,,한식,,36.35050489,127.4503906,0
15331,카페다솜,대전광역시 서구 복수동 923,070-4007-1364,매일 10:00~24:00,카페·디저트,아메리카노,36.2964989,127.3801312,0
15332,본죽+비빔밥cafe 대전유성온천역점,대전광역시 유성구 봉명동 553-2,042-824-6288,매일 09:00~20:30,한식,본나물비빔밥,36.3537391,127.340685,0
15333,동아리 탄방점,대전광역시 서구 탄방동 766,042-482-5849,,일식,,36.34395064,127.3885867,0
15334,수레면옥 본점,대전광역시 서구 둔산동 925,042-484-6789,매일 09:30~10:00,한식,설렁탕,36.35890127,127.3889863,0
15335,동동국수 롯데백화점대전점,대전광역시 서구 괴정동 423-1,,,한식,육칼,36.3406093,127.3895912,0
15336,굽네치킨 도안가수원점,대전광역시 서구 도안동 1373,042-542-8292,매일 12:00~23:59,치킨,굽네 갈비천왕,36.3128445,127.346525,0
15337,만복순대,대전광역시 중구 안영동 643-1,042-584-9808,매일 11:00~22:00 BREAK TIME 15:00-17:00,한식,순대국밥,36.29313224,127.380881,0
15338,대림뷔페한정식,대전광역시 중구 선화동 230-6,042-221-6969,,한식,,36.32843856,127.4223922,0
15339,아구찜마법사,대전광역시 동구 가오동 582,042-271-7005,토요일 11:30~22:00 마지막주문은 21:30까지 입니다. | 금요일 11:30~22:00 마지막주문은 21:30까지 입니다. | 일요일 11:30~22:00 마지막주문은 21:30까지 입니다. | 목요일 11:30~22:00 마지막주문은 21:30까지 입니다. | 수요일 11:30~22:00 마지막주문은 21:30까지 입니다. | 화요일 11:30~22:00 마지막주문은 21:30까지 입니다.,한식,해물탕이 반찬인 아구찜 큰소,36.30744819,127.454438,0
15340,순카페,대전광역시 유성구 원신흥동 567-1,042-535-4525,평일 09:30~18:00 매주 월요일 휴무,카페·디저트,순바디 / Soon Body,36.33598864,127.3374793,0
15341,후구스토리+명장복집,대전광역시 서구 만년동 343,042-471-1929,매일 11:30~22:00 연중 무휴,일식,A코스 스폐셜,36.36714975,127.3817459,0
15342,소륜소반,대전광역시 대덕구 읍내동 248-6,042-637-6001,매일 11:30~20:30 브레이크 타임 15:00 - 17:00,일식,수제 안심돈까스,36.3781579,127.4215989,0
15343,김형제고기의철학 둔산시청점,대전광역시 서구 둔산동 1450,042-487-9992,매일 16:00~01:00,한식,이베리코 숙성 꽃목살,36.35060981,127.3890772,0
15344,본죽+비빔밥cafe 대전부사점,대전광역시 중구 문창동 374-6,042-282-3278,매일 09:30~21:30,한식,본나물비빔밥,36.31325611,127.4355953,0
15345,1987금빛통닭 태평동점,대전광역시 중구 태평동 328-11,042-524-5820,,치킨,,36.3250769,127.3975135,0
15346,궁동감자탕,대전광역시 유성구 궁동 408-15,042-823-7871,매일 11:00~01:00,한식,감자탕 소,36.36246395,127.3507018,0
15347,소바노하나,대전광역시 중구 문화동 1-9,042-254-7811,매일 11:00~21:00 브레이크타임 : 15:00~17:00,일식,모리소바,36.3224965,127.4155698,0
15348,순흥식당,대전광역시 동구 신안동 293-34,042-632-3340,,한식,,36.32840453,127.4379935,0
15349,스트리트203,대전광역시 대덕구 중리동 203-1,042-673-0203,평일 11:00~23:00 | 토요일 10:00~21:00 | 일요일 10:00~21:00,카페·디저트,에스프레소,36.3592508,127.4264675,0
15350,모듬,대전광역시 서구 도안동 1304,042-545-1304,수요일 17:30~22:00 매주 일요일 휴무 | 토요일 17:30~22:00 매주 일요일 휴무 | 금요일 17:30~22:00 매주 일요일 휴무 | 목요일 17:30~22:00 매주 일요일 휴무 | 화요일 17:30~22:00 매주 일요일 휴무 | 월요일 17:30~22:00 매주 일요일 휴무,한식,모듬회 대,36.3206074,127.3430546,0
15351,늘편한식당,대전광역시 대덕구 송촌동 483-17,042-633-0009,매일 10:00~22:00 일요일 휴무,한식,산닭백숙,36.36210861,127.4375761,0
15352,두레연구품당,대전광역시 유성구 탑립동 602-1,042-931-8662,,한식,연잎밥 떡갈비정식,36.40911493,127.3966322,0
15353,금성식당,대전광역시 동구 가양동 147-6,042-635-5300,,중식,,36.3483462,127.4542096,0
15354,따뜻한식당,대전광역시 유성구 봉명동 556-11,042-488-5566,매일 11:30~22:30 매주일요일휴무,일식,수제 돈가스,36.35121399,127.339204,0
15356,나래원,대전광역시 대덕구 비래동 139-10,042-252-0838,,한식,한방녹두삼계탕,36.35518586,127.4506385,0
15357,셀라비,대전광역시 서구 둔산1동 1415,042-487-1662,평일 11:00~23:00 월요일~금요일 | 일요일 11:00~22:00 | 토요일 11:00~22:00,양식,스테이크A코스,36.35060481,127.3874395,0
15358,도우모,대전광역시 유성구 죽동 720-10,042-825-2438,매일 11:30~15:30 라스트오더 14:30 | 매일 17:30~22:00 라스트오더 21:00,일식,타마고산도,36.37226458,127.3397603,0
15359,신바람식당,대전광역시 중구 대흥동 131-2,042-254-5456,매일 09:00~21:00,한식,김치찌개,36.32614655,127.4288357,0
15360,바로그집 괴정점,대전광역시 서구 괴정동 423-24,042-534-6844,매일 09:30~22:30,분식,떡볶이,36.34053301,127.3885251,0
15361,양연화로 송촌점,대전광역시 대덕구 송촌동 457-2,042-621-6006,매일 16:30~22:00 매주 일요일 정기휴무,한식,양연 모듬 A set 550g,36.3649624,127.43819,0
15362,뼈다귀탕,대전광역시 중구 부사동 209-63,042-222-5548,매일 09:00~00:00 | 토요일 09:00~00:00 | 금요일 09:00~00:00 | 목요일 09:00~00:00 | 수요일 09:00~00:00 | 화요일 09:00~00:00 | 월요일 09:00~00:00 | 일요일 09:00~00:00,한식,뼈해장국,36.3140693,127.4294121,0
15363,불구이돈 목상점,대전광역시 대덕구 목상동 149-3,042-936-3277,,한식,,36.44769287,127.4107341,0
15364,어머니식당,대전광역시 동구 삼성동 344-1,042-634-1264,,한식,삼겹살 1인분,36.3422517,127.4173402,0
15365,어웨이프롬,대전광역시 중구 태평동 339-4,,매일 12:00~22:00 화요일 휴무 | 화요일 휴무 화요일 휴무,카페·디저트,아메리카노,36.32845487,127.3988254,0
15366,딱좋아,대전광역시 서구 도마동 129-30,042-321-3822,매일 10:00~21:30 화요일휴무,한식,백숙,36.3161976,127.3791093,0
15367,신성횟집,대전광역시 유성구 신성동 138-6,042-867-2822,매일 17:00~24:00,한식,,36.39030867,127.3490717,0
15368,민칼국수,대전광역시 유성구 노은동 535-30,042-825-0900,매일 11:00~21:00,한식,황태칼국수  얼큰이칼국수,36.36781392,127.3222275,0
15369,수향,대전광역시 유성구 안산동 262,042-822-1818,,한식,수육大,36.41307301,127.297543,0
15370,고기마루,대전광역시 서구 둔산동 2032,042-485-4031,,한식,,36.3506723,127.3999157,0
15371,J축산갈비,대전광역시 서구 괴정동 6-3,042-528-8293,매일 00:00~24:00,한식,숯불삼겹살 돼지갈비(무한리필)성인,36.3406599,127.3878358,0
15372,오후사이,대전광역시 유성구 신성동 144-15,042-864-3330,매일 10:00~23:00 | 일요일 휴무,양식,아메리카노,36.38973804,127.3509379,0
15373,금강식당,대전광역시 중구 유천동 126-51,042-585-2516,,한식,,36.31931248,127.4028527,0
15374,밀밭칼국수 전민점,대전광역시 유성구 전민동 329-18,042-861-0124,,한식,,36.39868265,127.4036607,0
